Kind,Name,MaxNesting,SumCyclomatic,AvgCyclomatic,MaxCyclomatic
File,"CircularFifoQueueTest.java",1,39,1,3
File,"CloneTransformer.java",1,4,1,2
File,"Closure.java",0,0,0,0
File,"ClosureTransformer.java",0,4,1,1
File,"ClosureUtils.java",1,18,1,2
File,"ClosureUtilsTest.java",1,48,1,2
File,"CollatingIterator.java",4,41,1,6
File,"CollatingIteratorTest.java",2,26,2,3
File,"CollectionBag.java",3,19,1,4
File,"CollectionBagTest.java",1,9,1,2
File,"CollectionSortedBag.java",3,19,1,4
File,"CollectionSortedBagTest.java",1,14,1,2
File,"CollectionUtils.java",3,213,2,10
File,"CollectionUtilsTest.java",1,287,1,2
File,"Collections701Test.java",0,3,1,1
File,"CommandVisitor.java",0,0,0,0
File,"ComparableComparator.java",0,5,1,1
File,"ComparableComparatorTest.java",0,4,1,1
File,"ComparatorChain.java",4,35,1,6
File,"ComparatorChainTest.java",1,23,1,3
File,"ComparatorPredicate.java",1,11,1,6
File,"ComparatorPredicateTest.java",0,7,1,1
File,"ComparatorUtils.java",1,19,1,3
File,"ComparatorUtilsTest.java",0,14,1,1
File,"CompositeCollection.java",2,56,2,5
File,"CompositeCollectionTest.java",1,49,1,2
File,"CompositeMap.java",4,48,2,5
File,"CompositeMapTest.java",0,24,1,1
File,"CompositeSet.java",4,62,2,6
File,"CompositeSetTest.java",0,20,1,1
File,"ConstantFactory.java",1,5,1,2
File,"ConstantTransformer.java",1,11,1,3
File,"CountingBloomFilter.java",0,0,0,0
File,"CursorableLinkedList.java",3,57,1,4
File,"CursorableLinkedListTest.java",1,85,1,3
File,"DEVELOPERS-GUIDE.html",0,0,0,0
File,"DefaultBloomFilterMethodsTest.java",0,8,1,1
File,"DefaultEquator.java",0,6,1,2
File,"DefaultKeyValue.java",1,17,1,5
File,"DefaultKeyValueTest.java",0,9,1,1
File,"DefaultMapEntry.java",0,3,1,1
File,"DefaultMapEntryTest.java",0,4,1,1
File,"DefaultedMap.java",0,10,1,2
File,"DefaultedMapTest.java",1,20,1,2
File,"DeleteCommand.java",0,2,1,1
File,"DualHashBidiMap.java",0,6,1,1
File,"DualHashBidiMapTest.java",0,4,1,1
File,"DualLinkedHashBidiMap.java",0,6,1,1
File,"DualLinkedHashBidiMapTest.java",0,5,1,1
File,"DualTreeBidiMap.java",1,52,1,4
File,"DualTreeBidiMap2Test.java",1,14,1,2
File,"DualTreeBidiMapTest.java",0,4,1,1
File,"DynamicHasher.java",1,18,1,3
File,"DynamicHasherBuilderTest.java",0,7,1,1
File,"DynamicHasherTest.java",1,13,1,2
File,"EditCommand.java",0,2,1,1
File,"EditScript.java",1,8,1,2
File,"EmptyIterator.java",0,3,1,1
File,"EmptyListIterator.java",0,3,1,1
File,"EmptyMapIterator.java",0,2,1,1
File,"EmptyMapMutator.java",0,3,1,1
File,"EmptyOrderedIterator.java",0,2,1,1
File,"EmptyOrderedMapIterator.java",0,2,1,1
File,"EmptyPropertiesTest.java",3,71,1,2
File,"EmptySetMutator.java",0,4,1,1
File,"EntrySetMapIterator.java",1,14,1,2
File,"EntrySetToMapIteratorAdapter.java",1,10,1,2
File,"EnumerationIterator.java",1,10,1,3
File,"EnumerationUtils.java",2,8,1,3
File,"EnumerationUtilsTest.java",1,8,1,2
File,"EqualPredicate.java",1,9,1,2
File,"EqualPredicateTest.java",0,6,1,1
File,"Equator.java",0,0,0,0
File,"ExceptionClosure.java",0,4,1,1
File,"ExceptionFactory.java",0,4,1,1
File,"ExceptionPredicate.java",0,4,1,1
File,"ExceptionTransformer.java",0,4,1,1
File,"Factory.java",0,0,0,0
File,"FactoryTransformer.java",0,4,1,1
File,"FactoryUtils.java",0,7,1,1
File,"FactoryUtilsTest.java",1,34,1,2
File,"FalsePredicate.java",0,4,1,1
File,"FilterIterator.java",2,15,1,3
File,"FilterIteratorTest.java",2,26,1,4
File,"FilterListIterator.java",2,33,1,6
File,"FilterListIteratorTest.java",3,47,1,11
File,"FixedIndexesTestHasher.java",1,4,1,2
File,"FixedOrderComparator.java",2,34,2,10
File,"FixedOrderComparatorTest.java",3,21,1,6
File,"FixedSizeList.java",0,26,1,1
File,"FixedSizeListTest.java",0,17,1,1
File,"FixedSizeMap.java",2,16,1,3
File,"FixedSizeMapTest.java",0,6,1,1
File,"FixedSizeSortedMap.java",1,19,1,2
File,"FixedSizeSortedMapTest.java",0,8,1,1
File,"Flat3Map.java",4,253,3,23
File,"Flat3MapTest.java",0,60,1,1
File,"FluentIterable.java",1,35,1,2
File,"FluentIterableTest.java",1,46,1,2
File,"ForClosure.java",1,8,1,3
File,"FunctorException.java",0,4,1,1
File,"FunctorUtils.java",2,22,2,3
File,"Get.java",0,0,0,0
File,"GrowthList.java",1,10,1,2
