Kind,Name,CountClassCoupled,CountClassCoupledModified
TypeVariable,"org.apache.commons.collections4.PredicateUtils.onePredicate.T",0,0
TypeVariable,"org.apache.commons.collections4.PredicateUtils.orPredicate.T",0,0
TypeVariable,"org.apache.commons.collections4.PredicateUtils.transformedPredicate.T",0,0
TypeVariable,"org.apache.commons.collections4.PredicateUtils.truePredicate.T",0,0
TypeVariable,"org.apache.commons.collections4.PredicateUtils.uniquePredicate.T",0,0
Public Class,"org.apache.commons.collections4.PredicateUtilsTest",25,25
Public Generic Interface,"org.apache.commons.collections4.Put",1,1
TypeVariable,"org.apache.commons.collections4.Put.K",0,0
TypeVariable,"org.apache.commons.collections4.Put.V",0,0
Public Class,"org.apache.commons.collections4.QueueUtils",9,9
TypeVariable,"org.apache.commons.collections4.QueueUtils.emptyQueue.E",0,0
TypeVariable,"org.apache.commons.collections4.QueueUtils.predicatedQueue.E",0,0
TypeVariable,"org.apache.commons.collections4.QueueUtils.synchronizedQueue.E",0,0
TypeVariable,"org.apache.commons.collections4.QueueUtils.transformingQueue.E",0,0
TypeVariable,"org.apache.commons.collections4.QueueUtils.unmodifiableQueue.E",0,0
Public Class,"org.apache.commons.collections4.QueueUtilsTest",12,12
Public Generic Interface,"org.apache.commons.collections4.ResettableIterator",0,0
TypeVariable,"org.apache.commons.collections4.ResettableIterator.E",0,0
Public Generic Interface,"org.apache.commons.collections4.ResettableListIterator",0,0
TypeVariable,"org.apache.commons.collections4.ResettableListIterator.E",0,0
Public Class,"org.apache.commons.collections4.SetUtils",24,24
Public Static Abstract Generic Class,"org.apache.commons.collections4.SetUtils.SetView",6,6
TypeVariable,"org.apache.commons.collections4.SetUtils.SetView.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.SetView.copyInto.S",0,0
Anonymous Class,"org.apache.commons.collections4.SetUtils.difference.(Anon_1)",4,4
TypeVariable,"org.apache.commons.collections4.SetUtils.difference.E",0,0
Anonymous Class,"org.apache.commons.collections4.SetUtils.disjunction.(Anon_2)",4,4
TypeVariable,"org.apache.commons.collections4.SetUtils.disjunction.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.emptyIfNull.T",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.emptySet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.emptySortedSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.hashCodeForSet.T",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.hashSet.E",0,0
Anonymous Class,"org.apache.commons.collections4.SetUtils.intersection.(Anon_3)",4,4
TypeVariable,"org.apache.commons.collections4.SetUtils.intersection.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.newIdentityHashSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.orderedSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.predicatedNavigableSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.predicatedSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.predicatedSortedSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.synchronizedSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.synchronizedSortedSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.transformedNavigableSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.transformedSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.transformedSortedSet.E",0,0
Anonymous Class,"org.apache.commons.collections4.SetUtils.union.(Anon_4)",4,4
TypeVariable,"org.apache.commons.collections4.SetUtils.union.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.unmodifiableNavigableSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.unmodifiableSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.unmodifiableSet.E",0,0
TypeVariable,"org.apache.commons.collections4.SetUtils.unmodifiableSortedSet.E",0,0
Public Class,"org.apache.commons.collections4.SetUtilsTest",12,12
Public Generic Interface,"org.apache.commons.collections4.SetValuedMap",2,2
TypeVariable,"org.apache.commons.collections4.SetValuedMap.K",0,0
TypeVariable,"org.apache.commons.collections4.SetValuedMap.V",0,0
Public Generic Interface,"org.apache.commons.collections4.SortedBag",1,1
TypeVariable,"org.apache.commons.collections4.SortedBag.E",0,0
Public Generic Interface,"org.apache.commons.collections4.SortedBidiMap",2,2
TypeVariable,"org.apache.commons.collections4.SortedBidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.SortedBidiMap.V",0,0
Public Class,"org.apache.commons.collections4.SplitMapUtils",9,9
Private Static Generic Class,"org.apache.commons.collections4.SplitMapUtils.WrappedGet",11,11
TypeVariable,"org.apache.commons.collections4.SplitMapUtils.WrappedGet.K",0,0
TypeVariable,"org.apache.commons.collections4.SplitMapUtils.WrappedGet.V",0,0
Private Static Generic Class,"org.apache.commons.collections4.SplitMapUtils.WrappedPut",5,5
TypeVariable,"org.apache.commons.collections4.SplitMapUtils.WrappedPut.K",0,0
TypeVariable,"org.apache.commons.collections4.SplitMapUtils.WrappedPut.V",0,0
TypeVariable,"org.apache.commons.collections4.SplitMapUtils.readableMap.K",0,0
TypeVariable,"org.apache.commons.collections4.SplitMapUtils.readableMap.V",0,0
TypeVariable,"org.apache.commons.collections4.SplitMapUtils.writableMap.K",0,0
TypeVariable,"org.apache.commons.collections4.SplitMapUtils.writableMap.V",0,0
Public Class,"org.apache.commons.collections4.SplitMapUtilsTest",20,20
Public Class,"org.apache.commons.collections4.TestUtils",8,8
Public Generic Interface,"org.apache.commons.collections4.Transformer",0,0
TypeVariable,"org.apache.commons.collections4.Transformer.I",0,0
TypeVariable,"org.apache.commons.collections4.Transformer.O",0,0
Public Class,"org.apache.commons.collections4.TransformerUtils",26,26
TypeVariable,"org.apache.commons.collections4.TransformerUtils.asTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.asTransformer.O",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.asTransformer.T",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.asTransformer.T",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.chainedTransformer.T",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.chainedTransformer.T",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.cloneTransformer.T",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.constantTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.constantTransformer.O",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.exceptionTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.exceptionTransformer.O",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.ifTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.ifTransformer.O",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.ifTransformer.T",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.instantiateTransformer.T",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.instantiateTransformer.T",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.invokerTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.invokerTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.invokerTransformer.O",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.invokerTransformer.O",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.mapTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.mapTransformer.O",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.nopTransformer.T",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.nullTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.nullTransformer.O",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.stringValueTransformer.T",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.switchMapTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.switchMapTransformer.O",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.switchTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.switchTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.switchTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.switchTransformer.I",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.switchTransformer.O",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.switchTransformer.O",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.switchTransformer.O",0,0
TypeVariable,"org.apache.commons.collections4.TransformerUtils.switchTransformer.O",0,0
Public Class,"org.apache.commons.collections4.TransformerUtilsTest",28,28
Public Generic Interface,"org.apache.commons.collections4.Trie",1,1
TypeVariable,"org.apache.commons.collections4.Trie.K",0,0
TypeVariable,"org.apache.commons.collections4.Trie.V",0,0
Public Class,"org.apache.commons.collections4.TrieUtils",2,2
TypeVariable,"org.apache.commons.collections4.TrieUtils.unmodifiableTrie.K",0,0
TypeVariable,"org.apache.commons.collections4.TrieUtils.unmodifiableTrie.V",0,0
Public Class,"org.apache.commons.collections4.TrieUtilsTest",5,5
Public Interface,"org.apache.commons.collections4.Unmodifiable",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.bag.AbstractBagDecorator",2,2
TypeVariable,"org.apache.commons.collections4.bag.AbstractBagDecorator.E",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.bag.AbstractBagTest",18,18
TypeVariable,"org.apache.commons.collections4.bag.AbstractBagTest.T",0,0
Public Class,"org.apache.commons.collections4.bag.AbstractBagTest.TestBagUniqueSet",5,5
Public Abstract Generic Class,"org.apache.commons.collections4.bag.AbstractMapBag",19,19
Static Generic Class,"org.apache.commons.collections4.bag.AbstractMapBag.BagIterator",6,6
TypeVariable,"org.apache.commons.collections4.bag.AbstractMapBag.BagIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.bag.AbstractMapBag.E",0,0
Protected Static Class,"org.apache.commons.collections4.bag.AbstractMapBag.MutableInteger",1,1
TypeVariable,"org.apache.commons.collections4.bag.AbstractMapBag.toArray.T",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.bag.AbstractSortedBagDecorator",2,2
TypeVariable,"org.apache.commons.collections4.bag.AbstractSortedBagDecorator.E",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.bag.AbstractSortedBagTest",8,8
TypeVariable,"org.apache.commons.collections4.bag.AbstractSortedBagTest.T",0,0
Public Generic Class,"org.apache.commons.collections4.bag.CollectionBag",8,8
TypeVariable,"org.apache.commons.collections4.bag.CollectionBag.E",0,0
TypeVariable,"org.apache.commons.collections4.bag.CollectionBag.collectionBag.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.CollectionBagTest",12,12
TypeVariable,"org.apache.commons.collections4.bag.CollectionBagTest.T",0,0
Public Generic Class,"org.apache.commons.collections4.bag.CollectionSortedBag",8,8
TypeVariable,"org.apache.commons.collections4.bag.CollectionSortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.bag.CollectionSortedBag.collectionSortedBag.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.CollectionSortedBagTest",14,14
TypeVariable,"org.apache.commons.collections4.bag.CollectionSortedBagTest.T",0,0
Public Generic Class,"org.apache.commons.collections4.bag.HashBag",6,6
TypeVariable,"org.apache.commons.collections4.bag.HashBag.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.HashBagTest",5,5
TypeVariable,"org.apache.commons.collections4.bag.HashBagTest.T",0,0
Public Generic Class,"org.apache.commons.collections4.bag.PredicatedBag",3,3
TypeVariable,"org.apache.commons.collections4.bag.PredicatedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.bag.PredicatedBag.predicatedBag.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.PredicatedBagTest",13,13
TypeVariable,"org.apache.commons.collections4.bag.PredicatedBagTest.T",0,0
Public Generic Class,"org.apache.commons.collections4.bag.PredicatedSortedBag",3,3
TypeVariable,"org.apache.commons.collections4.bag.PredicatedSortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.bag.PredicatedSortedBag.predicatedSortedBag.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.PredicatedSortedBagTest",12,12
TypeVariable,"org.apache.commons.collections4.bag.PredicatedSortedBagTest.T",0,0
Public Generic Class,"org.apache.commons.collections4.bag.SynchronizedBag",3,3
TypeVariable,"org.apache.commons.collections4.bag.SynchronizedBag.E",0,0
Class,"org.apache.commons.collections4.bag.SynchronizedBag.SynchronizedBagSet",0,0
TypeVariable,"org.apache.commons.collections4.bag.SynchronizedBag.synchronizedBag.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.SynchronizedBagTest",6,6
TypeVariable,"org.apache.commons.collections4.bag.SynchronizedBagTest.T",0,0
Public Generic Class,"org.apache.commons.collections4.bag.SynchronizedSortedBag",2,2
TypeVariable,"org.apache.commons.collections4.bag.SynchronizedSortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.bag.SynchronizedSortedBag.synchronizedSortedBag.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.TransformedBag",5,5
TypeVariable,"org.apache.commons.collections4.bag.TransformedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.bag.TransformedBag.transformedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.bag.TransformedBag.transformingBag.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.TransformedBagTest",10,10
TypeVariable,"org.apache.commons.collections4.bag.TransformedBagTest.T",0,0
Public Generic Class,"org.apache.commons.collections4.bag.TransformedSortedBag",4,4
TypeVariable,"org.apache.commons.collections4.bag.TransformedSortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.bag.TransformedSortedBag.transformedSortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.bag.TransformedSortedBag.transformingSortedBag.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.TransformedSortedBagTest",11,11
TypeVariable,"org.apache.commons.collections4.bag.TransformedSortedBagTest.T",0,0
Public Generic Class,"org.apache.commons.collections4.bag.TreeBag",14,14
TypeVariable,"org.apache.commons.collections4.bag.TreeBag.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.TreeBagTest",8,8
TypeVariable,"org.apache.commons.collections4.bag.TreeBagTest.T",0,0
Public Generic Class,"org.apache.commons.collections4.bag.UnmodifiableBag",13,13
TypeVariable,"org.apache.commons.collections4.bag.UnmodifiableBag.E",0,0
TypeVariable,"org.apache.commons.collections4.bag.UnmodifiableBag.unmodifiableBag.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.UnmodifiableBagTest",9,9
TypeVariable,"org.apache.commons.collections4.bag.UnmodifiableBagTest.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.UnmodifiableSortedBag",13,13
TypeVariable,"org.apache.commons.collections4.bag.UnmodifiableSortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.bag.UnmodifiableSortedBag.unmodifiableSortedBag.E",0,0
Public Generic Class,"org.apache.commons.collections4.bag.UnmodifiableSortedBagTest",9,9
TypeVariable,"org.apache.commons.collections4.bag.UnmodifiableSortedBagTest.E",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator",3,3
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator.V",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.bidimap.AbstractBidiMapTest",20,20
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractBidiMapTest.K",0,0
Public Class,"org.apache.commons.collections4.bidimap.AbstractBidiMapTest.TestBidiMapEntrySet",8,8
Public Class,"org.apache.commons.collections4.bidimap.AbstractBidiMapTest.TestBidiMapIterator",7,7
Public Class,"org.apache.commons.collections4.bidimap.AbstractBidiMapTest.TestInverseBidiMap",3,3
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractBidiMapTest.V",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractBidiMapTest.modifyEntrySet.T",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap",14,14
Protected Static Generic Class,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.BidiMapIterator",7,7
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.BidiMapIterator.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.BidiMapIterator.V",0,0
Protected Static Generic Class,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.EntrySet",4,4
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.EntrySet.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.EntrySet.V",0,0
Protected Static Generic Class,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.EntrySetIterator",6,6
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.EntrySetIterator.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.EntrySetIterator.V",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.K",0,0
Protected Static Generic Class,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.KeySet",4,4
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.KeySet.K",0,0
Protected Static Generic Class,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.KeySetIterator",4,4
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.KeySetIterator.K",0,0
Protected Static Generic Class,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.MapEntry",4,4
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.MapEntry.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.MapEntry.V",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.V",0,0
Protected Static Generic Class,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.Values",4,4
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.Values.V",0,0
Protected Static Generic Class,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.ValuesIterator",5,5
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.ValuesIterator.V",0,0
Protected Static Abstract Generic Class,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.View",7,7
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.View.E",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.View.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractDualBidiMap.View.V",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecorator",2,2
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecorator.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecorator.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecoratorTest",6,6
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecoratorTest.K",0,0
Private Static Generic Class,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecoratorTest.TestOrderedBidiMap",2,2
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecoratorTest.TestOrderedBidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecoratorTest.TestOrderedBidiMap.V",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecoratorTest.V",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapTest",12,12
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapTest.K",0,0
Public Class,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapTest.TestBidiOrderedMapIterator",7,7
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapTest.V",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.bidimap.AbstractSortedBidiMapDecorator",3,3
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractSortedBidiMapDecorator.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractSortedBidiMapDecorator.V",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.bidimap.AbstractSortedBidiMapTest",20,20
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractSortedBidiMapTest.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.AbstractSortedBidiMapTest.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.DualHashBidiMap",8,8
TypeVariable,"org.apache.commons.collections4.bidimap.DualHashBidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.DualHashBidiMap.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.DualHashBidiMapTest",4,4
TypeVariable,"org.apache.commons.collections4.bidimap.DualHashBidiMapTest.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.DualHashBidiMapTest.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.DualLinkedHashBidiMap",8,8
TypeVariable,"org.apache.commons.collections4.bidimap.DualLinkedHashBidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.DualLinkedHashBidiMap.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.DualLinkedHashBidiMapTest",4,4
TypeVariable,"org.apache.commons.collections4.bidimap.DualLinkedHashBidiMapTest.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.DualLinkedHashBidiMapTest.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.DualTreeBidiMap",14,14
Protected Static Generic Class,"org.apache.commons.collections4.bidimap.DualTreeBidiMap.BidiOrderedMapIterator",8,8
TypeVariable,"org.apache.commons.collections4.bidimap.DualTreeBidiMap.BidiOrderedMapIterator.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.DualTreeBidiMap.BidiOrderedMapIterator.V",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.DualTreeBidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.DualTreeBidiMap.V",0,0
Protected Static Generic Class,"org.apache.commons.collections4.bidimap.DualTreeBidiMap.ViewMap",5,5
TypeVariable,"org.apache.commons.collections4.bidimap.DualTreeBidiMap.ViewMap.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.DualTreeBidiMap.ViewMap.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.DualTreeBidiMap2Test",22,22
Private Static Class,"org.apache.commons.collections4.bidimap.DualTreeBidiMap2Test.IntegerComparator",2,2
TypeVariable,"org.apache.commons.collections4.bidimap.DualTreeBidiMap2Test.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.DualTreeBidiMap2Test.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.DualTreeBidiMapTest",4,4
TypeVariable,"org.apache.commons.collections4.bidimap.DualTreeBidiMapTest.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.DualTreeBidiMapTest.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.TreeBidiMap",27,27
Enum Type,"org.apache.commons.collections4.bidimap.TreeBidiMap.DataElement",2,2
Class,"org.apache.commons.collections4.bidimap.TreeBidiMap.EntryView",7,7
Class,"org.apache.commons.collections4.bidimap.TreeBidiMap.Inverse",15,15
Class,"org.apache.commons.collections4.bidimap.TreeBidiMap.InverseEntryView",7,7
Class,"org.apache.commons.collections4.bidimap.TreeBidiMap.InverseViewMapEntryIterator",5,5
Class,"org.apache.commons.collections4.bidimap.TreeBidiMap.InverseViewMapIterator",6,6
TypeVariable,"org.apache.commons.collections4.bidimap.TreeBidiMap.K",0,0
Class,"org.apache.commons.collections4.bidimap.TreeBidiMap.KeyView",5,5
Static Generic Class,"org.apache.commons.collections4.bidimap.TreeBidiMap.Node",6,6
TypeVariable,"org.apache.commons.collections4.bidimap.TreeBidiMap.Node.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.TreeBidiMap.Node.V",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.TreeBidiMap.V",0,0
Class,"org.apache.commons.collections4.bidimap.TreeBidiMap.ValueView",5,5
Abstract Generic Class,"org.apache.commons.collections4.bidimap.TreeBidiMap.View",3,3
TypeVariable,"org.apache.commons.collections4.bidimap.TreeBidiMap.View.E",0,0
Abstract Class,"org.apache.commons.collections4.bidimap.TreeBidiMap.ViewIterator",6,6
Class,"org.apache.commons.collections4.bidimap.TreeBidiMap.ViewMapEntryIterator",3,3
Class,"org.apache.commons.collections4.bidimap.TreeBidiMap.ViewMapIterator",6,6
TypeVariable,"org.apache.commons.collections4.bidimap.TreeBidiMap.compare.T",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.TreeBidiMap.lookup.T",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.TreeBidiMapTest",6,6
TypeVariable,"org.apache.commons.collections4.bidimap.TreeBidiMapTest.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.TreeBidiMapTest.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.UnmodifiableBidiMap",9,9
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableBidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableBidiMap.V",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableBidiMap.unmodifiableBidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableBidiMap.unmodifiableBidiMap.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.UnmodifiableBidiMapTest",10,10
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableBidiMapTest.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableBidiMapTest.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap",9,9
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap.V",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap.unmodifiableOrderedBidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap.unmodifiableOrderedBidiMap.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMapTest",10,10
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMapTest.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMapTest.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap",11,11
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap.V",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap.unmodifiableSortedBidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap.unmodifiableSortedBidiMap.V",0,0
Public Generic Class,"org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMapTest",10,10
TypeVariable,"org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMapTest.K",0,0
